"","Year","ISO","drought","earthquake"
"214",2006,"MOZ",0,1
"215",2006,"NPL",1,0
"216",2006,"PER",1,0
"217",2006,"RUS",0,1
"218",2006,"SLV",0,1
"219",2006,"TJK",0,1
"220",2006,"TWN",0,1
"221",2006,"TZA",1,0
"222",2006,"USA",0,1
"223",2007,"BRA",1,1
"224",2007,"BRB",0,1
"225",2007,"CHL",0,1
"226",2007,"CHN",0,1
"227",2007,"COL",0,1
"228",2007,"DJI",1,0
"229",2007,"GBR",0,1
"230",2007,"HND",0,1
"231",2007,"IDN",0,1
"232",2007,"JPN",0,1
"233",2007,"LCA",0,1
"234",2007,"LSO",1,0
"235",2007,"MDA",1,0
"236",2007,"MOZ",1,0
"237",2007,"MTQ",0,1
"238",2007,"MWI",1,0
"239",2007,"PER",0,1
"240",2007,"PHL",1,0
"241",2007,"RUS",0,1
"242",2007,"SLB",0,1
"243",2007,"SWZ",1,0
"244",2007,"TJK",0,1
"245",2007,"TLS",1,0
"246",2007,"USA",1,0
"247",2007,"ZWE",1,0
"248",2008,"AFG",1,0
"249",2008,"BDI",1,0
"250",2008,"BOL",1,0
"251",2008,"CHN",1,1
"252",2008,"COD",0,1
"253",2008,"COL",0,1
"254",2008,"DJI",1,0
"255",2008,"ERI",1,0
"256",2008,"ETH",1,0
"257",2008,"GRC",0,1
"258",2008,"IDN",0,1
"259",2008,"IRN",0,1
"260",2008,"JPN",0,1
"261",2008,"KEN",1,0
"262",2008,"KGZ",0,1
"263",2008,"MDG",1,0
"264",2008,"MOZ",1,0
"265",2008,"PAK",0,1
"266",2008,"PRY",1,0
"267",2008,"RUS",0,1
"268",2008,"RWA",0,1
"269",2008,"SOM",1,0
"270",2008,"SYR",1,0
"271",2008,"THA",1,0
"272",2008,"TJK",1,0
"273",2008,"UGA",1,0
"274",2008,"USA",0,1
"275",2009,"AFG",0,1
"276",2009,"ALB",0,1
"277",2009,"ARG",1,0
"278",2009,"ASM",0,1
"279",2009,"BDI",1,0
"280",2009,"BGD",1,0
"281",2009,"BTN",0,1
"282",2009,"CHN",1,1
"283",2009,"CRI",0,1
"284",2009,"ECU",1,0
"285",2009,"ETH",1,0
"286",2009,"GEO",0,1
"287",2009,"GTM",1,0
"288",2009,"HND",1,1
"289",2009,"IDN",0,1
"290",2009,"IND",1,0
"291",2009,"IRN",0,1
"292",2009,"ITA",0,1
"293",2009,"JPN",0,1
"294",2009,"KGZ",1,0
"295",2009,"MWI",0,1
"296",2009,"NER",1,0
"297",2009,"NPL",1,0
"298",2009,"PHL",0,1
"299",2009,"PRY",1,0
"300",2009,"SLV",1,0
"301",2009,"SSD",1,0
"302",2009,"TCD",1,0
"303",2009,"TON",0,1
"304",2009,"VEN",1,0
"305",2009,"WSM",0,1
"306",2010,"AFG",0,1
"307",2010,"BDI",1,0
"308",2010,"BOL",1,0
"309",2010,"BRA",1,0
"310",2010,"BRB",1,0
"311",2010,"CHL",0,1
"312",2010,"CHN",1,1
"313",2010,"DJI",1,0
"314",2010,"ETH",1,0
"315",2010,"GRD",1,0
"316",2010,"GUY",1,0
"317",2010,"HTI",0,1
"318",2010,"IDN",0,1
"319",2010,"IRN",0,1
"320",2010,"KEN",1,0
"321",2010,"LCA",1,0
"322",2010,"MEX",0,1
"323",2010,"MLI",1,0
"324",2010,"MOZ",1,0
"325",2010,"MRT",1,0
"326",2010,"NZL",0,1
"327",2010,"RUS",1,0
"328",2010,"SLB",0,1
"329",2010,"SOM",1,0
"330",2010,"SRB",0,1
"331",2010,"THA",1,0
"332",2010,"TJK",0,1
"333",2010,"TTO",1,0
"334",2010,"TUR",0,1
"335",2010,"TWN",0,1
"336",2010,"UGA",1,0
"337",2010,"USA",0,1
"338",2010,"VCT",1,0
"339",2010,"ZWE",1,0
"340",2011,"AFG",1,0
"341",2011,"BFA",1,0
"342",2011,"BTN",0,1
"343",2011,"CHN",0,1
"344",2011,"ESP",0,1
"345",2011,"ETH",1,0
"346",2011,"GTM",0,1
"347",2011,"IDN",0,1
"348",2011,"IND",0,1
"349",2011,"JPN",0,1
"350",2011,"KEN",1,0
"351",2011,"KGZ",0,1
"352",2011,"LSO",1,0
"353",2011,"MEX",1,1
"354",2011,"MLI",1,0
"355",2011,"MMR",0,1
"356",2011,"MRT",1,0
"357",2011,"NER",1,0
"358",2011,"NPL",0,1
"359",2011,"NZL",0,1
"360",2011,"PAK",0,1
"361",2011,"PER",0,1
"362",2011,"PHL",0,1
"363",2011,"SDN",1,0
"364",2011,"SEN",1,0
"365",2011,"SOM",1,0
"366",2011,"THA",1,1
"367",2011,"TJK",0,1
"368",2011,"TUR",0,1
"369",2011,"TUV",1,0
"370",2011,"TZA",1,0
"371",2011,"USA",1,0
"372",2011,"UZB",0,1
"373",2012,"AFG",0,1
"374",2012,"AGO",1,0
"375",2012,"AZE",0,1
"376",2012,"BGR",0,1
"377",2012,"BRA",1,0
"378",2012,"CHL",0,1
"379",2012,"CHN",0,1
"380",2012,"CMR",1,0
"381",2012,"CRI",0,1
"382",2012,"GMB",1,0
"383",2012,"GTM",1,1
"384",2012,"HND",1,0
"385",2012,"IDN",0,1
"386",2012,"IRN",0,1
"387",2012,"ITA",1,1
"388",2012,"LKA",1,0
"389",2012,"MDA",1,0
"390",2012,"MEX",0,1
"391",2012,"MMR",0,1
"392",2012,"MWI",1,0
"393",2012,"PER",0,1
"394",2012,"PHL",0,1
"395",2012,"PRK",1,0
"396",2012,"PRY",1,0
"397",2012,"RUS",1,0
"398",2012,"TCD",1,0
"399",2012,"THA",1,0
"400",2012,"TJK",0,1
"401",2012,"UKR",1,0
"402",2012,"USA",1,0
"403",2013,"AFG",0,1
"404",2013,"BOL",1,0
"405",2013,"CHN",1,1
"406",2013,"COL",0,1
"407",2013,"ECU",1,0
"408",2013,"GTM",0,1
"409",2013,"HUN",0,1
"410",2013,"IDN",0,1
"411",2013,"IND",0,1
"412",2013,"IRN",0,1
"413",2013,"JPN",0,1
"414",2013,"MHL",1,0
"415",2013,"NAM",1,0
"416",2013,"NZL",1,1
"417",2013,"PAK",0,1
"418",2013,"PAN",1,0
"419",2013,"PER",0,1
"420",2013,"PHL",0,1
"421",2013,"PRY",1,0
"422",2013,"SLB",0,1
"423",2013,"TWN",0,1
"424",2013,"ZWE",1,0
"425",2014,"BFA",1,0
"426",2014,"BOL",1,0
"427",2014,"BRA",1,0
"428",2014,"CHL",0,1
"429",2014,"CHN",1,1
"430",2014,"COM",0,1
"431",2014,"CRI",1,0
"432",2014,"DZA",0,1
"433",2014,"ECU",0,1
"434",2014,"GRC",0,1
"435",2014,"GTM",1,1
"436",2014,"HND",1,0
"437",2014,"HTI",1,0
"438",2014,"IRN",0,1
"439",2014,"JAM",1,0
"440",2014,"JPN",0,1
"441",2014,"KEN",1,0
"442",2014,"LKA",1,0
"443",2014,"MDG",1,0
"444",2014,"MEX",0,1
"445",2014,"MYS",1,0
"446",2014,"NIC",1,1
"447",2014,"PER",0,1
"448",2014,"SEN",1,0
"449",2014,"SLV",1,0
"450",2014,"SOM",1,0
"451",2014,"THA",1,1
"452",2014,"TUR",0,1
"453",2014,"USA",1,1
"454",2014,"ZAF",0,1
"455",2015,"AFG",0,1
"456",2015,"BGD",0,1
